iso3,country_name,year,gdp_usd,population,trade_pct_gdp,fdi_inflow_pct_gdp
LIE,Liechtenstein,2015,6268515276.17441,37494.0,,1282.60722939224
LIE,Liechtenstein,2016,6237302033.50132,37716.0,,972.693538598386
LIE,Liechtenstein,2017,6474308717.85289,37962.0,,602.374526148965
LIE,Liechtenstein,2018,6692620691.84146,38246.0,,-1303.10826691135
LIE,Liechtenstein,2019,6436467007.11932,38563.0,,
LIE,Liechtenstein,2020,6405870210.32293,38901.0,,
LIE,Liechtenstein,2021,7912602342.18895,39182.0,,
LIE,Liechtenstein,2022,7426856242.7736,39493.0,,
LIE,Liechtenstein,2023,8239379403.22096,39846.0,,
MCO,Monaco,2013,6555591709.88585,35447.0,,
MCO,Monaco,2014,7070017323.65476,36128.0,,
MCO,Monaco,2015,6264756528.37691,36757.0,,
MCO,Monaco,2016,6471290793.55029,37276.0,,
MCO,Monaco,2017,6430254652.58934,37678.0,,
MCO,Monaco,2018,7184333936.01355,38154.0,,
MCO,Monaco,2019,7383496254.23721,38109.0,,
MCO,Monaco,2020,6730736282.78961,38050.0,,
MCO,Monaco,2021,8623242743.29564,38527.0,,
MCO,Monaco,2022,8800430486.17137,38931.0,,
MCO,Monaco,2023,10003892565.2005,38956.0,,
SMR,San Marino,2013,1678741475.14095,33041.0,,
SMR,San Marino,2014,1673911426.17254,32655.0,,
SMR,San Marino,2015,1419401070.56043,32897.0,321.364013420909,
SMR,San Marino,2016,1468343139.74326,33101.0,320.146089060708,
SMR,San Marino,2017,1528620346.31168,33825.0,313.85032377067,
SMR,San Marino,2018,1655353653.05934,34522.0,309.487956436918,
SMR,San Marino,2019,1616340692.28937,34663.0,307.264778080283,
SMR,San Marino,2020,1541248248.80727,34770.0,304.903167579063,
SMR,San Marino,2021,1855652786.18368,34252.0,342.470174007962,6.75333409502216
SMR,San Marino,2022,1829211863.9476,33755.0,370.436071813414,3.92890134686182
SMR,San Marino,2023,2027527227.831,33860.0,340.983395012486,-0.893347982047045
